LA,Headroom (%),No. Networks
S12000018,571.3421930990473,89.16348195329087
S12000039,530.0251713161205,100.4755838641189
E07000136,503.5951092526866,61.92993630573248
S12000014,499.7081794494355,168.1380042462845
E06000031,486.50510713521066,175.2208067940552
E07000112,484.52804901459047,106.96602972399151
E07000168,483.50612107314606,124.13588110403397
S12000021,478.96104334312946,153.9384288747346
E07000076,476.85625040796,145.8535031847134
E07000145,475.083525214077,96.42038216560509
E06000046,466.7280732520464,152.74946921443737
E07000206,457.8737440511437,118.6135881104034
E07000190,456.5596856188109,112.69851380042464
S12000028,455.0151045385703,123.73673036093419
S12000026,454.2588006776548,137.31634819532908
E07000038,451.67656996210894,95.32271762208067
E07000105,451.5075946198434,111.48832271762208
E06000022,450.8268125643414,172.8683651804671
E06000055,450.6127507212641,153.38641188959662
W06000009,443.7261432939221,128.9936305732484
S12000029,439.7634629031618,332.8259023354565
E07000029,439.6535203380754,70.23142250530786
E07000175,437.3268777934319,112.1104033970276
E07000106,435.474001849523,139.2972399150743
E07000163,430.57149918167164,57.04883227176221
W06000008,429.4476424531444,71.7176220806794
E07000099,427.2935338056152,120.1380042462845
S12000010,422.95279763166974,104.79617834394904
E07000113,420.7994635115922,127.40976645435244
E07000152,419.8348899978461,84.50955414012739
E07000108,419.4326489963962,109.92993630573248
E07000071,418.6506231601583,168.00849256900213
E07000222,417.89080605684813,132.40976645435245
E07000045,417.12833845549403,130.83651804670913
E07000051,416.73581900833886,48.910828025477706
E07000137,415.5673632358061,140.4416135881104
S12000024,415.48241454548383,170.03184713375796
E07000116,414.98162911376994,103.57112526539278
S12000041,411.80614227896746,130.29087048832272
E07000197,411.29411629731123,124.54989384288747
S12000035,409.05908883692894,125.09766454352442
E07000110,408.4743718649477,145.96815286624204
E07000153,407.3164357052496,93.31634819532908
E07000189,403.61491983331297,163.23354564755837
E07000064,402.5439366212543,95.87048832271762
E07000067,400.656547727544,134.88747346072188
S12000006,399.03870254734085,173.87261146496814
E07000031,398.6175397277619,114.70488322717623
E07000142,397.92091315562715,89.16135881104034
E07000144,397.7325015841271,120.73248407643312
E07000147,395.7295976780095,116.49469214437367
E07000228,393.84515986048973,132.74097664543524
S12000017,393.0578374488506,297.22717622080677
E07000218,392.53630203688857,59.19957537154989
E06000052,390.8996047024686,574.656050955414
W06000002,389.6120292314532,130.67091295116774
E07000032,389.5766352514731,120.16348195329087
E07000046,387.8709018189067,67.02123142250531
E07000134,384.9445952534766,91.5307855626327
E07000075,384.92934106954755,74.50106157112526
S12000030,384.8722268596012,93.8131634819533
E06000025,384.73549825361755,244.87685774946922
E07000165,384.71524619391397,150.69426751592357
E07000043,381.4582442457049,93.98726114649682
E07000140,380.9701341772852,85.15286624203821
S12000020,379.4459107756377,100.84925690021231
W06000001,378.5552539309191,74.45222929936305
E07000171,378.1817451829973,108.7791932059448
