hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |V|4 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), |I|4 (amps)
0, 0.00000, 1610.04, 1610.08, 1525.08, 0, 1955.96, 1956.12, 1852.79, 30.3362
0, 0.00000, 1640.3, 1642.6, 1556.76, 0, 1879.88, 1882.44, 1784.07, 29.1332
0, 0.00000, 1671.67, 1676.5, 1589.7, 0, 1800.93, 1806.05, 1712.55, 28.5954
0, 0.00000, 1704.21, 1711.85, 1623.95, 0, 1718.85, 1726.49, 1637.85, 28.5914
0, 0.00000, 1737.97, 1748.78, 1659.6, 0, 1633.46, 1643.56, 1559.75, 29.0912
0, 0.00000, 1773.01, 1787.39, 1696.72, 0, 1544.57, 1557.03, 1478.05, 30.0203
0, 0.00000, 1809.42, 1827.83, 1735.39, 0, 1451.93, 1466.65, 1392.48, 31.2689
0, 0.00000, 1847.27, 1870.24, 1775.7, 0, 1355.33, 1372.13, 1302.78, 32.7033
0, 0.00000, 1886.63, 1914.77, 1817.74, 0, 1254.53, 1273.2, 1208.69, 34.1733
0, 0.00000, 1927.57, 1961.62, 1861.59, 0, 1149.27, 1169.54, 1109.91, 35.5148
0, 0.00000, 1970.17, 2010.99, 1907.34, 0, 1039.27, 1060.77, 1006.1, 36.5464
0, 0.00000, 2014.51, 2063.13, 1955.1, 0, 924.199, 946.482, 896.923, 37.0601
0, 0.00000, 2060.68, 2118.33, 2004.96, 0, 803.755, 826.226, 782.007, 36.8086
0, 0.00000, 2108.77, 2177.36, 2056.88, 0, 677.57, 699.612, 660.88, 35.8002
0, 0.00000, 2158.87, 2241.17, 2110.72, 0, 545.308, 566.102, 533.132, 33.7242
0, 0.00000, 2211.34, 2310.35, 2166.94, 0, 406.566, 424.775, 398.411, 29.5715
0, 0.00000, 2265.99, 2387.37, 2227.8, 0, 260.888, 274.861, 256.491, 22.4636
0, 0.00000, 2328.69, 2470.83, 2295.56, 0, 108.179, 114.787, 106.638, 10.6701
0, 0.00000, 2396.05, 2557.61, 2376.57, 0, 54.114, 57.763, 53.6727, 5.7253
0, 0.00000, 2465.49, 2648.81, 2460.93, 0, 224.768, 241.482, 224.346, 25.412
0, 0.00000, 1614.69, 1612.12, 1528.91, 0, 1962.11, 1959.14, 1857.91, 28.8188
0, 0.00000, 1645.22, 1644.74, 1560.81, 0, 1886.14, 1885.51, 1789.3, 27.5055
0, 0.00000, 1676.91, 1678.75, 1594.01, 0, 1807.25, 1809.15, 1717.83, 26.9513
0, 0.00000, 1709.79, 1714.24, 1628.54, 0, 1725.22, 1729.63, 1643.17, 26.9782
0, 0.00000, 1743.94, 1751.31, 1664.5, 0, 1639.84, 1646.71, 1565.09, 27.5558
0, 0.00000, 1779.4, 1790.07, 1701.95, 0, 1550.98, 1560.22, 1483.41, 28.6012
0, 0.00000, 1816.27, 1830.67, 1740.97, 0, 1458.37, 1469.88, 1397.86, 29.9935
0, 0.00000, 1854.61, 1873.24, 1781.66, 0, 1361.79, 1375.42, 1308.18, 31.5886
0, 0.00000, 1894.53, 1917.96, 1824.11, 0, 1260.99, 1276.55, 1214.09, 33.229
0, 0.00000, 1936.09, 1965.02, 1868.41, 0, 1155.71, 1172.95, 1115.28, 34.7467
0, 0.00000, 1979.38, 2014.61, 1914.64, 0, 1045.7, 1064.28, 1011.47, 35.9576
0, 0.00000, 2024.51, 2067, 1962.92, 0, 930.63, 950.139, 902.297, 36.6541
0, 0.00000, 2071.56, 2122.47, 2013.32, 0, 810.21, 830.107, 787.418, 36.5899
0, 0.00000, 2120.65, 2181.84, 2065.79, 0, 684.149, 703.893, 666.432, 35.8159
0, 0.00000, 2172.02, 2246.04, 2120.19, 0, 552.216, 571.036, 539.021, 33.9726
0, 0.00000, 2225.89, 2315.7, 2177.15, 0, 414.253, 430.976, 405.192, 30.0678
0, 0.00000, 2282.35, 2393.72, 2238.99, 0, 270.944, 284.164, 265.797, 23.3664
0, 0.00000, 2349.45, 2476.13, 2309.58, 0, 128.581, 135.522, 126.394, 12.4239
0, 0.00000, 2419.2, 2563.22, 2391.37, 0, 88.7967, 94.0833, 87.7727, 9.20347
0, 0.00000, 2491.33, 2654.79, 2475.74, 0, 238.29, 253.926, 236.792, 26.4493
0, 0.00000, 1619.22, 1614, 1532.59, 0, 1969.58, 1963.39, 1864.25, 27.264
