hour, t(sec), P1 (kW), Q1 (kvar)
0, 0.00000, 25.015, 10073
0, 0.00000, 25.2215, 10310.9
0, 0.00000, 27.6646, 10547.8
0, 0.00000, 30.4506, 10780
0, 0.00000, 37.7286, 11424.7
0, 0.00000, 40.6032, 11595.5
0, 0.00000, 48.3087, 11521.1
0, 0.00000, 51.4842, 11382.5
0, 0.00000, 54.9214, 11165.5
0, 0.00000, 55.464, 10852.5
0, 0.00000, 60.1198, 10422.5
0, 0.00000, 65.2721, 9851.01
0, 0.00000, 70.9532, 9109.64
0, 0.00000, 77.1842, 8165.82
0, 0.00000, 84.1423, 6997.14
0, 0.00000, 91.8875, 5561.06
0, 0.00000, 100.181, 3796.03
0, 0.00000, 109.054, 1664.5
0, 0.00000, 118.193, -870.904
0, 0.00000, 127.057, -3811.7
0, 0.00000, -244.533, 10203.4
0, 0.00000, -267.594, 10455.7
0, 0.00000, -291.345, 10709.1
0, 0.00000, -318.238, 10960.3
0, 0.00000, -359.748, 11643.3
0, 0.00000, -394.945, 11838.6
0, 0.00000, -422.181, 11782.4
0, 0.00000, -457.771, 11662.1
0, 0.00000, -497.345, 11464.3
0, 0.00000, -544.675, 11166.3
0, 0.00000, -592.813, 10750.6
0, 0.00000, -646.102, 10189
0, 0.00000, -704.938, 9450.72
0, 0.00000, -769.926, 8502.82
0, 0.00000, -843.899, 7326.44
0, 0.00000, -925.44, 5847.44
0, 0.00000, -1014.58, 4013.73
0, 0.00000, -1110.02, 1768.73
0, 0.00000, -1206.92, -928.415
0, 0.00000, -1302.67, -4079.79
0, 0.00000, -520.799, 10328.6
0, 0.00000, -568.275, 10595.4
0, 0.00000, -619.682, 10865.1
0, 0.00000, -587.519, 11260.6
0, 0.00000, -770.979, 11859.7
0, 0.00000, -848.468, 12081.5
0, 0.00000, -913.618, 12044.5
0, 0.00000, -991.625, 11943.6
0, 0.00000, -1082.74, 11763.2
0, 0.00000, -1179.09, 11485.2
0, 0.00000, -1286.52, 11085.4
0, 0.00000, -1406.03, 10535.9
0, 0.00000, -1538.78, 9802.94
0, 0.00000, -1688.61, 8861.72
0, 0.00000, -1859.9, 7672.83
0, 0.00000, -2049.36, 6153.45
0, 0.00000, -2259.23, 4247.16
0, 0.00000, -2481.78, 1879.18
0, 0.00000, -2709.17, -990.289
0, 0.00000, -2938.68, -4373.11
0, 0.00000, -802.561, 10448.5
0, 0.00000, -876.324, 10729.3
0, 0.00000, -956.812, 11015
0, 0.00000, -1082.22, 11700.4
0, 0.00000, -1198.92, 12073.1
0, 0.00000, -1320.42, 12323.6
0, 0.00000, -1426.06, 12306.7
0, 0.00000, -1555, 12224.1
0, 0.00000, -1693.59, 12066
0, 0.00000, -1848.54, 11808
0, 0.00000, -2022.03, 11426.4
0, 0.00000, -2216.21, 10891.1
0, 0.00000, -2433.82, 10168.4
0, 0.00000, -2685.2, 9241.78
0, 0.00000, -2970.27, 8035.86
0, 0.00000, -3291.3, 6481.11
0, 0.00000, -3646.46, 4495.68
0, 0.00000, -4019.87, 1996.18
0, 0.00000, -4411.49, -1057.5
0, 0.00000, -4807.95, -4691.85
0, 0.00000, -1089.62, 10562.5
0, 0.00000, -1191.12, 10856.6
0, 0.00000, -1302.17, 11158.3
0, 0.00000, -1475.33, 11879.3
0, 0.00000, -1638.83, 12283.1
0, 0.00000, -1809.24, 12564.5
0, 0.00000, -1959.27, 12568.3
0, 0.00000, -2138.6, 12506.7
0, 0.00000, -2334.05, 12370.4
0, 0.00000, -2553.45, 12134
0, 0.00000, -2800.35, 11772.4
0, 0.00000, -3078.21, 11253.8
0, 0.00000, -3393.91, 10549
0, 0.00000, -3763.53, 9636.46
0, 0.00000, -4182.7, 8418.8
0, 0.00000, -4660.57, 6827.64
0, 0.00000, -5183.77, 4754.53
0, 0.00000, -5743.39, 2121.72
0, 0.00000, -6335.12, -1129.69
0, 0.00000, -6946.6, -5042.52
0, 0.00000, -1384.71, 10670.2
0, 0.00000, -1512.33, 10977.5
0, 0.00000, -1654.86, 11293.8
0, 0.00000, -1818.17, 12110.7
0, 0.00000, -2134.31, 12734
0, 0.00000, -2309.92, 12805
0, 0.00000, -2513.04, 12828.4
0, 0.00000, -2746.72, 12788.6
0, 0.00000, -3004.05, 12675.5
0, 0.00000, -3294.08, 12462.2
0, 0.00000, -3622.07, 12122.7
0, 0.00000, -3993.37, 11623.6
0, 0.00000, -4424.52, 10949.1
0, 0.00000, -4927.42, 10044.7
0, 0.00000, -5505.59, 8822.33
0, 0.00000, -6165.27, 7190.73
0, 0.00000, -6884.14, 5026.98
0, 0.00000, -7669.83, 2254.75
0, 0.00000, -8511.24, -1208.43
