hour, t(sec), P1 (kW), Q1 (kvar)
0, 0.00000, 33.4418, 502.538
0, 0.00000, 33.5092, 500.741
0, 0.00000, 33.585, 498.984
0, 0.00000, 33.6608, 497.218
0, 0.00000, 33.7365, 495.438
0, 0.00000, 33.8125, 493.648
0, 0.00000, 33.8883, 491.85
0, 0.00000, 33.9642, 490.034
0, 0.00000, 34.0403, 488.21
0, 0.00000, 34.1164, 486.369
0, 0.00000, 34.1927, 484.521
0, 0.00000, 34.269, 482.661
0, 0.00000, 34.3452, 480.79
0, 0.00000, 34.4216, 478.903
0, 0.00000, 34.4981, 477.006
0, 0.00000, 34.5746, 475.095
0, 0.00000, 34.6512, 473.174
0, 0.00000, 34.7279, 471.24
0, 0.00000, 34.8047, 469.298
0, 0.00000, 34.8815, 467.339
0, 0.00000, 34.9585, 465.372
0, 0.00000, 35.0355, 463.39
0, 0.00000, 35.1126, 461.395
0, 0.00000, 35.1898, 459.39
0, 0.00000, 35.2669, 457.375
0, 0.00000, 35.3441, 455.341
0, 0.00000, 35.4214, 453.298
0, 0.00000, 35.4988, 451.246
0, 0.00000, 35.5761, 449.179
0, 0.00000, 35.6537, 447.1
0, 0.00000, 35.7313, 445.01
0, 0.00000, 35.8089, 442.905
0, 0.00000, 35.8867, 440.789
0, 0.00000, 35.9643, 438.661
0, 0.00000, 36.0422, 436.52
0, 0.00000, 36.1202, 434.368
0, 0.00000, 36.1982, 432.199
0, 0.00000, 36.2762, 430.024
0, 0.00000, 36.3543, 427.831
0, 0.00000, 36.4326, 425.627
0, 0.00000, 36.5107, 423.411
0, 0.00000, 36.5889, 421.183
0, 0.00000, 36.6671, 418.939
0, 0.00000, 36.7454, 416.684
0, 0.00000, 36.8237, 414.412
0, 0.00000, 36.902, 412.131
0, 0.00000, 36.9803, 409.839
0, 0.00000, 37.0587, 407.533
0, 0.00000, 37.1373, 405.214
0, 0.00000, 37.2159, 402.885
0, 0.00000, 37.2945, 400.54
0, 0.00000, 37.3732, 398.181
0, 0.00000, 37.4519, 395.811
0, 0.00000, 37.5306, 393.429
0, 0.00000, 37.6095, 391.032
0, 0.00000, 37.6883, 388.625
0, 0.00000, 37.7672, 386.204
0, 0.00000, 37.8462, 383.769
0, 0.00000, 37.9252, 381.322
0, 0.00000, 38.0042, 378.862
0, 0.00000, 38.0834, 376.378
0, 0.00000, 38.1626, 373.892
0, 0.00000, 38.2414, 371.407
0, 0.00000, 38.3203, 368.895
0, 0.00000, 38.3995, 366.359
0, 0.00000, 38.4785, 363.826
0, 0.00000, 38.5575, 361.271
0, 0.00000, 38.6366, 358.694
0, 0.00000, 38.7155, 356.124
0, 0.00000, 38.7946, 353.51
0, 0.00000, 38.8737, 350.904
0, 0.00000, 38.9525, 348.283
0, 0.00000, 39.0313, 345.647
0, 0.00000, 39.1101, 342.998
0, 0.00000, 39.1887, 340.337
0, 0.00000, 39.2672, 337.666
0, 0.00000, 39.346, 334.962
0, 0.00000, 39.4248, 332.251
0, 0.00000, 39.5034, 329.535
