hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |V|4 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), |I|4 (amps)
0, 0.00000, 204.287, 204.93, 205.909, 0, 815.741, 818.325, 822.23, 8.44088
0, 0.00000, 204.516, 205.158, 206.143, 0, 811.938, 814.491, 818.399, 8.39402
0, 0.00000, 204.744, 205.386, 206.376, 0, 808.203, 810.74, 814.649, 8.3738
0, 0.00000, 204.971, 205.613, 206.61, 0, 804.463, 806.982, 810.893, 8.35378
0, 0.00000, 205.199, 205.84, 206.843, 0, 800.707, 803.21, 807.122, 8.3335
0, 0.00000, 205.427, 206.067, 207.076, 0, 796.947, 799.433, 803.346, 8.31303
0, 0.00000, 205.654, 206.293, 207.309, 0, 793.183, 795.651, 799.566, 8.29238
0, 0.00000, 205.882, 206.521, 207.542, 0, 789.396, 791.847, 795.763, 8.27144
0, 0.00000, 206.109, 206.747, 207.775, 0, 785.606, 788.04, 791.957, 8.25032
0, 0.00000, 206.337, 206.975, 208.009, 0, 781.797, 784.213, 788.13, 8.22892
0, 0.00000, 206.565, 207.201, 208.242, 0, 777.986, 780.385, 784.303, 8.20734
0, 0.00000, 206.792, 207.428, 208.475, 0, 774.165, 776.547, 780.465, 8.18553
0, 0.00000, 207.019, 207.654, 208.708, 0, 770.336, 772.7, 776.618, 8.1635
0, 0.00000, 207.247, 207.881, 208.941, 0, 766.489, 768.836, 772.755, 8.1412
0, 0.00000, 207.474, 208.107, 209.174, 0, 762.636, 764.965, 768.884, 8.11868
0, 0.00000, 207.702, 208.334, 209.407, 0, 758.767, 761.078, 764.997, 8.09589
0, 0.00000, 207.929, 208.56, 209.64, 0, 754.893, 757.187, 761.105, 8.07289
0, 0.00000, 208.156, 208.787, 209.873, 0, 751.006, 753.283, 757.2, 8.04962
0, 0.00000, 208.382, 209.014, 210.106, 0, 747.115, 749.376, 753.293, 8.029
0, 0.00000, 208.61, 209.241, 210.34, 0, 743.203, 745.45, 749.365, 8.00742
0, 0.00000, 208.836, 209.468, 210.572, 0, 739.29, 741.524, 745.434, 7.98514
0, 0.00000, 209.063, 209.695, 210.805, 0, 735.359, 737.579, 741.486, 7.96257
0, 0.00000, 209.29, 209.922, 211.038, 0, 731.419, 733.626, 737.529, 7.93973
0, 0.00000, 209.516, 210.149, 211.271, 0, 727.472, 729.666, 733.564, 7.91663
