hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 60.00000, 251.901, -29.9977, 251.935, -150.011, 252.019, 89.9977, 3.99135E-010, -42.4142, 0.450297, 11.8091, 1.18444E-010, -47.4896
0, 120.00000, 251.904, -29.9963, 251.921, -150.012, 252.027, 89.9965, 4.37587E-010, -47.0214, 0.450094, 11.7943, 8.17534E-011, -20.8545
0, 180.00000, 251.87, -29.9982, 251.934, -150.013, 252.009, 89.9993, 4.23606E-010, -47.6105, 0.450169, 11.7901, 1.11063E-010, -31.6075
0, 240.00000, 251.82, -30.0033, 251.956, -150.015, 251.967, 90.0036, 4.25768E-010, -40.4951, 0.450237, 11.7878, 8.51629E-011, -19.9831
0, 300.00000, 251.812, -30.0115, 251.959, -150.009, 251.859, 90.0045, 3.83371E-010, -46.1535, 0.450241, 11.8034, 9.54926E-011, 17.7447
0, 360.00000, 251.859, -30.0115, 251.918, -150.003, 251.831, 89.9988, 3.99135E-010, -42.4142, 0.450051, 11.8106, 8.17534E-011, -20.8545
0, 420.00000, 251.837, -30.0135, 251.926, -150.004, 251.818, 90.0006, 4.41265E-010, -43.8309, 0.450147, 11.7995, 8.00355E-011, 0
0, 480.00000, 251.78, -30.0158, 251.945, -150.007, 251.795, 90.0054, 4.37587E-010, -47.0214, 0.4502, 11.7942, 8.73115E-011, 0
0, 540.00000, 251.785, -30.0218, 251.965, -150.003, 251.732, 90.0068, 4.42579E-010, -43.6678, 0.450249, 11.8068, 7.16599E-011, -23.9625
0, 600.00000, 250.397, -29.981, 252.073, -150.14, 252.223, 90.0966, 4.56624E-010, -44.5158, 0.450382, 11.6587, 7.83645E-011, 21.8014
0, 660.00000, 251.652, -30.0252, 252.029, -150.014, 251.728, 90.0201, 4.32292E-010, -43.6361, 0.450319, 11.7994, 8.00355E-011, 0
0, 720.00000, 251.657, -30.0317, 252.051, -150.009, 251.66, 90.0213, 4.65789E-010, -43.4176, 0.450407, 11.8012, 8.73115E-011, 0
0, 780.00000, 251.688, -30.0325, 252.048, -150.006, 251.65, 90.0193, 4.40256E-010, -42.6559, 0.450342, 11.8032, 1.01928E-010, -34.8245
0, 840.00000, 251.693, -30.0382, 252.067, -150.003, 251.59, 90.0207, 4.23731E-010, -42.0421, 0.450425, 11.807, 9.82254E-011, 0
0, 900.00000, 251.691, -30.0358, 252.06, -150.004, 251.615, 90.0201, 4.57923E-010, -44.3563, 0.450344, 11.7997, 6.91216E-011, 0
0, 960.00000, 251.714, -30.0395, 252.069, -150, 251.574, 90.0193, 4.06234E-010, -38.8201, 0.450409, 11.8108, 7.27596E-011, 0
0, 1020.00000, 251.764, -30.0838, 252.19, -149.969, 251.067, 90.0203, 4.01107E-010, -40.7704, 0.450977, 11.8765, 9.31777E-011, -38.6598
0, 1080.00000, 251.764, -30.0839, 252.19, -149.969, 251.066, 90.0203, 4.22382E-010, -42.2073, 0.450599, 11.837, 5.09317E-011, 0
0, 1140.00000, 251.761, -30.0814, 252.182, -149.97, 251.093, 90.0198, 4.77813E-010, -42.0683, 0.450561, 11.8334, 7.63976E-011, 0
