hour, t(sec), P1 (kW), Q1 (kvar)
0, 0.00000, 2173.04, 8692.13
0, 0.00000, 2190.02, 8656.02
0, 0.00000, 2207.25, 8619.32
0, 0.00000, 2224.72, 8581.65
0, 0.00000, 2242.31, 8543.28
0, 0.00000, 2260.18, 8503.82
0, 0.00000, 2278.2, 8463.56
0, 0.00000, 2296.43, 8422.36
0, 0.00000, 2314.9, 8380.11
0, 0.00000, 2333.56, 8336.97
0, 0.00000, 2352.44, 8292.8
0, 0.00000, 2371.54, 8247.63
0, 0.00000, 2390.9, 8201.34
0, 0.00000, 2410.44, 8154.09
0, 0.00000, 2430.27, 8105.62
0, 0.00000, 2450.32, 8056.1
0, 0.00000, 2470.57, 8005.54
0, 0.00000, 2491.11, 7953.71
0, 0.00000, 2511.87, 7900.77
0, 0.00000, 2532.85, 7846.73
0, 0.00000, 2554.12, 7791.38
0, 0.00000, 2575.67, 7734.74
0, 0.00000, 2597.47, 7676.84
0, 0.00000, 2619.52, 7617.71
0, 0.00000, 2641.83, 7557.28
0, 0.00000, 2664.44, 7495.44
0, 0.00000, 2687.33, 7432.24
0, 0.00000, 2710.51, 7367.59
0, 0.00000, 2733.97, 7301.55
0, 0.00000, 2757.69, 7234.15
0, 0.00000, 2781.77, 7165.08
0, 0.00000, 2806.11, 7094.63
0, 0.00000, 2830.75, 7022.62
0, 0.00000, 2855.73, 6948.98
0, 0.00000, 2881.04, 6873.66
0, 0.00000, 2906.64, 6796.83
0, 0.00000, 2932.59, 6718.21
0, 0.00000, 2958.84, 6637.98
0, 0.00000, 2985.44, 6555.99
0, 0.00000, 3012.43, 6472.07
0, 0.00000, 3039.73, 6386.43
0, 0.00000, 3067.36, 6299.01
0, 0.00000, 3095.39, 6209.58
0, 0.00000, 3123.78, 6118.22
0, 0.00000, 3152.54, 6024.9
0, 0.00000, 3181.69, 5929.51
0, 0.00000, 3211.21, 5832.11
0, 0.00000, 3241.13, 5732.6
0, 0.00000, 3271.46, 5630.85
0, 0.00000, 3302.16, 5527.06
0, 0.00000, 3333.31, 5420.9
0, 0.00000, 3364.87, 5312.46
0, 0.00000, 3396.85, 5201.72
0, 0.00000, 3429.27, 5088.55
0, 0.00000, 3462.14, 4972.92
0, 0.00000, 3495.44, 4854.87
0, 0.00000, 3529.22, 4734.17
0, 0.00000, 3563.45, 4610.93
0, 0.00000, 3598.14, 4485.05
0, 0.00000, 3633.33, 4356.4
0, 0.00000, 3669.02, 4224.94
0, 0.00000, 3705.18, 4090.74
0, 0.00000, 3741.87, 3953.56
0, 0.00000, 3779.06, 3813.46
0, 0.00000, 3816.8, 3670.28
0, 0.00000, 3855.07, 3524.14
0, 0.00000, 3894, 3374.83
0, 0.00000, 3933.46, 3222.34
0, 0.00000, 3973.51, 3066.48
0, 0.00000, 4014.15, 2907.28
0, 0.00000, 4055.48, 2744.64
0, 0.00000, 4097.47, 2578.56
0, 0.00000, 4140.1, 2408.8
0, 0.00000, 4183.33, 2235.4
0, 0.00000, 4227.23, 2058.14
0, 0.00000, 4271.89, 1877.07
0, 0.00000, 4317.41, 1692.09
0, 0.00000, 4363.6, 1503.12
0, 0.00000, 4410.52, 1309.86
0, 0.00000, 4458.16, 1112.28
0, 0.00000, 4506.57, 910.401
0, 0.00000, 4555.77, 704.028
0, 0.00000, 4606.55, 493.106
0, 0.00000, 4659.36, 277.609
0, 0.00000, 4713.95, 55.801
0, 0.00000, 4768.73, -167.979
0, 0.00000, 4825, -399.462
0, 0.00000, 4882.1, -636.018
0, 0.00000, 4940.19, -878.302
0, 0.00000, 4999.15, -1125.97
0, 0.00000, 5059.77, -1379.96
0, 0.00000, 5122.52, -1640.19
0, 0.00000, 5187.5, -1907.29
0, 0.00000, 5253.54, -2181.04
0, 0.00000, 5320.69, -2461.52
0, 0.00000, 5389.01, -2748.9
0, 0.00000, 5458.93, -3043.69
0, 0.00000, 5528.75, -3345.14
0, 0.00000, 5599.52, -3653.73
0, 0.00000, 5671.56, -3970.07
0, 0.00000, 2136.74, 8700.69
0, 0.00000, 2153.61, 8664.49
0, 0.00000, 2170.58, 8627.82
0, 0.00000, 2187.73, 8590.29
0, 0.00000, 2205.11, 8551.79
0, 0.00000, 2222.66, 8512.46
0, 0.00000, 2240.42, 8472.18
0, 0.00000, 2258.38, 8430.96
0, 0.00000, 2276.54, 8388.81
0, 0.00000, 2294.88, 8345.74
0, 0.00000, 2313.51, 8301.52
0, 0.00000, 2332.3, 8256.41
0, 0.00000, 2351.34, 8210.17
0, 0.00000, 2370.63, 8162.82
0, 0.00000, 2390.1, 8114.51
0, 0.00000, 2409.84, 8065.01
