"Hour", "Undervoltages", "Min Voltage", "Overvoltage", "Max Voltage", "Min Bus", "Max Bus", "LV Undervoltages", "Min LV Voltage", "LV Overvoltage", "Max LV Voltage", "Min LV Bus", "Max LV Bus"
0.0166667, 0, 1.04962, 0, 1.04974, sourcebus, sourcebus, 0, 1.03456, 0, 1.04913, 899, 1
0.0333333, 0, 1.0496, 0, 1.04973, sourcebus, sourcebus, 0, 1.03387, 0, 1.04913, 676, 1
0.05, 0, 1.04966, 0, 1.04972, sourcebus, sourcebus, 0, 1.03502, 0, 1.04912, 906, 1
0.0666667, 0, 1.04957, 0, 1.04979, sourcebus, sourcebus, 0, 1.02892, 0, 1.04934, 900, 1
0.0833333, 0, 1.0496, 0, 1.04977, sourcebus, sourcebus, 0, 1.02846, 0, 1.04931, 898, 1
0.1, 0, 1.04967, 0, 1.04972, sourcebus, sourcebus, 0, 1.03654, 0, 1.04911, 886, 1
0.116667, 0, 1.04963, 0, 1.04979, sourcebus, sourcebus, 0, 1.02678, 0, 1.04926, 899, 1
0.133333, 0, 1.04958, 0, 1.04967, sourcebus, sourcebus, 0, 1.03331, 0, 1.04891, 899, 1
0.15, 0, 1.0495, 0, 1.04964, sourcebus, sourcebus, 0, 1.03382, 0, 1.04893, 906, 1
0.166667, 0, 1.04964, 0, 1.04974, sourcebus, sourcebus, 0, 1.03403, 0, 1.04913, 835, 1
0.183333, 0, 1.04963, 0, 1.04965, sourcebus, sourcebus, 0, 1.03244, 0, 1.04888, 835, 1
0.2, 0, 1.0497, 0, 1.04974, sourcebus, sourcebus, 0, 1.03835, 0, 1.04917, 639, 1
0.216667, 0, 1.04953, 0, 1.04972, sourcebus, sourcebus, 0, 1.0256, 0, 1.0492, 502, 1
0.233333, 0, 1.0496, 0, 1.04973, sourcebus, sourcebus, 0, 1.03342, 0, 1.0491, 906, 1
0.25, 0, 1.04965, 0, 1.04975, sourcebus, sourcebus, 0, 1.03223, 0, 1.04923, 906, 1
0.266667, 0, 1.04957, 0, 1.04982, sourcebus, sourcebus, 0, 1.0245, 301, 1.05084, 898, 868
0.283333, 0, 1.04968, 0, 1.04981, sourcebus, sourcebus, 0, 1.03357, 0, 1.04936, 886, 1
0.3, 0, 1.04971, 0, 1.04973, sourcebus, sourcebus, 0, 1.03739, 0, 1.04916, 639, 1
0.316667, 0, 1.04966, 0, 1.0497, sourcebus, sourcebus, 0, 1.03767, 0, 1.04904, 755, 1
0.333333, 0, 1.04973, 0, 1.04978, sourcebus, sourcebus, 0, 1.03772, 0, 1.04929, 619, 1
0.35, 0, 1.0497, 0, 1.04975, sourcebus, sourcebus, 0, 1.03556, 0, 1.04919, 886, 1
0.366667, 0, 1.04965, 0, 1.04974, sourcebus, sourcebus, 0, 1.03372, 0, 1.04922, 562, 1
0.383333, 0, 1.04962, 0, 1.04974, sourcebus, sourcebus, 0, 1.03611, 0, 1.0492, 899, 1
0.4, 0, 1.04963, 0, 1.0498, sourcebus, sourcebus, 0, 1.03112, 0, 1.04931, 676, 1
0.416667, 0, 1.04968, 0, 1.04972, sourcebus, sourcebus, 0, 1.03644, 0, 1.04908, 780, 1
0.433333, 0, 1.04969, 0, 1.04971, sourcebus, sourcebus, 0, 1.03813, 0, 1.04907, 778, 1
0.45, 0, 1.04956, 0, 1.04968, sourcebus, sourcebus, 0, 1.02974, 0, 1.04901, 563, 1
0.466667, 0, 1.04958, 0, 1.0498, sourcebus, sourcebus, 0, 1.02765, 103, 1.05014, 611, 611
0.483333, 0, 1.04964, 0, 1.04978, sourcebus, sourcebus, 0, 1.03459, 0, 1.04928, 639, 1
0.5, 0, 1.04961, 0, 1.04978, sourcebus, sourcebus, 0, 1.03195, 0, 1.04934, 562, 1
0.516667, 0, 1.04959, 0, 1.04972, sourcebus, sourcebus, 0, 1.02976, 0, 1.04904, 755, 1
