"Hour", "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "0.416 kV Losses", "Aux1", "Aux6", "Aux11", "Aux16", "Aux21", "Aux26", "0.416 kV Line Loss", "Aux2", "Aux7", "Aux12", "Aux17", "Aux22", "Aux27", "0.416 kV Load Loss", "Aux3", "Aux8", "Aux13", "Aux18", "Aux23", "Aux28", "0.416 kV No Load Loss", "Aux4", "Aux9", "Aux14", "Aux19", "Aux24", "Aux29", "0.416 kV Load Energy", "Aux5", "Aux10", "Aux15", "Aux20", "Aux25", "Aux30"
0.0166667, 34.6606, 11.3456, 34.6606, 36.4703, 34.374, 11.2982, 34.374, 36.1831, 0, 0, 0, 0, 0.286534, 0.0473675, 0.286534, 0.0473675, 0.286534, 0.0473675, 0, 0, 0.286534, 0, 0.286534, 0, 0.263412, 0.0231223, 0.286534, 0, 0, 0, 0, 0, 0.286534, 0, 0, 0, 0, 0, 0, 0.286534, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34.374, 0, 0, 0, 0, 0, 0
0.0333333, 34.4703, 11.2798, 34.6606, 36.4703, 34.1694, 11.231, 34.374, 36.1831, 0, 0, 0, 0, 0.300432, 0.0488214, 0.300432, 0.0488214, 0.300432, 0.0488214, 0, 0, 0.300432, 0, 0.300432, 0, 0.272651, 0.0277813, 0.300432, 0, 0, 0, 0, 0, 0.300432, 0, 0, 0, 0, 0, 0, 0.300432, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34.1694, 0, 0, 0, 0, 0, 0
0.05, 32.2638, 10.5625, 34.6606, 36.4703, 31.9907, 10.5148, 34.374, 36.1831, 0, 0, 0, 0, 0.27307, 0.0475931, 0.300432, 0.0488214, 0.27307, 0.0475931, 0, 0, 0.300432, 0, 0.27307, 0, 0.25988, 0.0131892, 0.27307, 0, 0, 0, 0, 0, 0.27307, 0, 0, 0, 0, 0, 0, 0.27307, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31.9907, 0, 0, 0, 0, 0, 0
0.0666667, 31.206, 10.201, 34.6606, 36.4703, 30.8824, 10.1506, 34.374, 36.1831, 0, 0, 0, 0, 0.323617, 0.0504464, 0.323617, 0.0504464, 0.323617, 0.0504464, 0, 0, 0.323617, 0, 0.323617, 0, 0.26135, 0.0622668, 0.323617, 0, 0, 0, 0, 0, 0.323617, 0, 0, 0, 0, 0, 0, 0.323617, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30.8824, 0, 0, 0, 0, 0, 0
0.0833333, 32.8489, 10.7404, 34.6606, 36.4703, 32.5046, 10.6838, 34.374, 36.1831, 0, 0, 0, 0, 0.344337, 0.0566377, 0.344337, 0.0566377, 0.344337, 0.0566377, 0, 0, 0.344337, 0, 0.344337, 0, 0.295959, 0.0483785, 0.344337, 0, 0, 0, 0, 0, 0.344337, 0, 0, 0, 0, 0, 0, 0.344337, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32.5046, 0, 0, 0, 0, 0, 0
0.1, 32.2177, 10.5482, 34.6606, 36.4703, 31.9584, 10.5042, 34.374, 36.1831, 0, 0, 0, 0, 0.25924, 0.0439394, 0.344337, 0.0566377, 0.25924, 0.0439394, 0, 0, 0.344337, 0, 0.25924, 0, 0.244584, 0.0146562, 0.25924, 0, 0, 0, 0, 0, 0.25924, 0, 0, 0, 0, 0, 0, 0.25924, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31.9584, 0, 0, 0, 0, 0, 0
0.116667, 31.6898, 10.3621, 34.6606, 36.4703, 31.3693, 10.3106, 34.374, 36.1831, 0, 0, 0, 0, 0.320535, 0.0515633, 0.344337, 0.0566377, 0.320535, 0.0515633, 0, 0, 0.344337, 0, 0.320535, 0, 0.267587, 0.0529473, 0.320535, 0, 0, 0, 0, 0, 0.320535, 0, 0, 0, 0, 0, 0, 0.320535, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31.3693, 0, 0, 0, 0, 0, 0
0.133333, 40.4828, 13.2437, 40.4828, 42.5941, 40.0856, 13.1752, 40.0856, 42.1953, 0, 0, 0, 0, 0.397701, 0.0678555, 0.397701, 0.0678555, 0.397701, 0.0678555, 0, 0, 0.397701, 0, 0.397701, 0, 0.378916, 0.0187849, 0.397701, 0, 0, 0, 0, 0, 0.397701, 0, 0, 0, 0, 0, 0, 0.397701, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40.0856, 0, 0, 0, 0, 0, 0
0.15, 43.4518, 14.2179, 43.4518, 45.7188, 43.0531, 14.1509, 43.0531, 45.319, 0, 0, 0, 0, 0.398698, 0.0669845, 0.398698, 0.0678555, 0.398698, 0.0669845, 0, 0, 0.398698, 0, 0.398698, 0, 0.373663, 0.0250353, 0.398698, 0, 0, 0, 0, 0, 0.398698, 0, 0, 0, 0, 0, 0, 0.398698, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43.0531, 0, 0, 0, 0, 0, 0
0.166667, 34.6115, 11.3233, 43.4518, 45.7188, 34.2846, 11.2689, 43.0531, 45.319, 0, 0, 0, 0, 0.325609, 0.0541344, 0.398698, 0.0678555, 0.325609, 0.0541344, 0, 0, 0.398698, 0, 0.325609, 0, 0.300283, 0.0253266, 0.325609, 0, 0, 0, 0, 0, 0.325609, 0, 0, 0, 0, 0, 0, 0.325609, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34.2846, 0, 0, 0, 0, 0, 0
